Date,
8/9/2010,10000000
8/10/2010,9946011.682
8/11/2010,9673422.283
8/12/2010,9614121.469
8/13/2010,9585801.388
8/16/2010,9581376.449
8/17/2010,9699085.638
8/18/2010,9716786.564
8/19/2010,9547745.57
8/20/2010,9516772.16
8/23/2010,9480483.813
8/24/2010,9339763.749
8/25/2010,9376049.549
8/26/2010,9313211.246
8/27/2010,9457472.938
8/30/2010,9320293.654
8/31/2010,9320293.654
9/1/2010,9599078.117
9/2/2010,9688468.924
9/3/2010,9814141.604
9/7/2010,9703513.973
9/8/2010,9771661.483
9/9/2010,9816798.966
9/10/2010,9866359.054
9/13/2010,9976103.267
9/14/2010,9969906.717
9/15/2010,10007965.83
9/16/2010,10005309.21
9/17/2010,10009045.16
9/20/2010,10162084.77
9/21/2010,10141622.9
9/22/2010,10091793.99
9/23/2010,10009935.79
9/24/2010,10216362.19
9/27/2010,10167426.35
9/28/2010,10203017.53
9/29/2010,10185221.2
9/30/2010,10154969.15
10/1/2010,10197677.55
10/4/2010,10121156.15
10/5/2010,10324916.16
10/6/2010,10324023.94
10/7/2010,10311568.33
10/8/2010,10369404.35
10/11/2010,10379191.13
10/12/2010,10411222.01
10/13/2010,10492194.46
10/14/2010,10451263.29
10/15/2010,10472615.9
10/18/2010,10524224.49
10/19/2010,10386310.05
10/20/2010,10487744.37
10/21/2010,10510877.4
10/22/2010,10530452.77
10/25/2010,10561594.61
10/26/2010,10563373.44
10/27/2010,10533123.08
10/28/2010,10534902.87
10/29/2010,10542909.13
11/1/2010,10546469.43
11/2/2010,10630106.46
11/3/2010,10672816.56
11/4/2010,10878354.66
11/5/2010,10919284.24
11/8/2010,10898818.23
11/9/2010,10820519.49
11/10/2010,10864117.78
11/11/2010,10823186.61
11/12/2010,10695060.55
11/15/2010,10679935.37
11/16/2010,10513547.81
11/17/2010,10518886.21
11/18/2010,10673703.16
11/19/2010,10703066.92
11/22/2010,10694171.51
11/23/2010,10539350.52
11/24/2010,10695060.55
11/26/2010,10570490.76
11/29/2010,10602523.23
11/30/2010,10542909.13
12/1/2010,10767132.71
12/2/2010,10905046.4
12/3/2010,10934408.56
12/6/2010,10922842.85
12/7/2010,10929070.17
12/8/2010,10969111.45
12/9/2010,11011817.41
12/10/2010,11075883.31
12/13/2010,11083002.23
12/14/2010,11092786.57
12/15/2010,11042071.06
12/16/2010,11106135.26
12/17/2010,11118029.76
12/20/2010,11144864.89
12/21/2010,11215525.74
12/22/2010,11250411.59
12/23/2010,11234309.08
12/27/2010,11238782.73
12/28/2010,11254882.81
12/29/2010,11262933.64
12/30/2010,11245044.12
12/31/2010,11247728.23
1/3/2011,11364005.1
1/4/2011,11357742.97
1/5/2011,11416778.14
1/6/2011,11394417.41
1/7/2011,11372055.2
1/10/2011,11357742.97
1/11/2011,11397995.55
1/12/2011,11500858.89
1/13/2011,11482073.11
1/14/2011,11565256.76
1/18/2011,11584934.87
1/19/2011,11471341.36
1/20/2011,11456131.17
1/21/2011,11482073.11
1/24/2011,11547367.24
1/25/2011,11553630.33
1/26/2011,11598352.43
1/27/2011,11626976.14
1/28/2011,11423931.87
1/31/2011,11509802.06
2/1/2011,11694056.42
2/2/2011,11671697.39
2/3/2011,11697637.74
2/4/2011,11730730.23
2/7/2011,11804076.04
2/8/2011,11857745.33
2/9/2011,11830909.47
2/10/2011,11835383.01
2/11/2011,11906041.43
2/14/2011,11934662.7
2/15/2011,11897096.67
2/16/2011,11972233.62
2/17/2011,12008011.8
2/18/2011,12033054.94
2/22/2011,11791552.4
2/23/2011,11719103.7
2/24/2011,11711051.27
2/25/2011,11836273.75
2/28/2011,11909620.31
3/1/2011,11711051.27
3/2/2011,11736095.26
3/3/2011,11938241.58
3/4/2011,11848798.98
3/7/2011,11755775.81
3/8/2011,11858637.56
3/9/2011,11841641.22
3/10/2011,11622503.34
3/11/2011,11703003.62
3/14/2011,11632342.02
3/15/2011,11499069.45
3/16/2011,11286188.19
3/17/2011,11435563.92
3/18/2011,11477156.59
3/21/2011,11655027.29
3/22/2011,11614598.22
3/23/2011,11647838.01
3/24/2011,11759230.83
3/25/2011,11795166.09
3/28/2011,11766420.11
3/29/2011,11845471.95
3/30/2011,11927221.58
3/31/2011,11911051.03
4/1/2011,11961357.73
4/4/2011,11971239.29
4/5/2011,11969444.12
4/6/2011,12007173.7
4/7/2011,11976630.22
4/8/2011,11935308.07
4/11/2011,11899372.81
4/12/2011,11810440.27
4/13/2011,11809539.03
4/14/2011,11818522.63
4/15/2011,11861644.83
4/18/2011,11728688.94
4/19/2011,11796066.49
4/20/2011,11956867.95
4/21/2011,12017954.06
4/25/2011,12005374.6
4/26/2011,12108684.96
4/27/2011,12187739.13
4/28/2011,12227264.62
4/29/2011,12256011.45
5/2/2011,12237150.21
5/3/2011,12193128.57
5/4/2011,12112280.82
5/5/2011,12002683.92
5/6/2011,12055682.79
5/9/2011,12102399.26
5/10/2011,12205707.18
5/11/2011,12077241.93
5/12/2011,12134737.07
5/13/2011,12041311.45
5/16/2011,11964952.75
5/17/2011,11963155.24
5/18/2011,12070059.02
5/19/2011,12098801.81
5/20/2011,12002683.92
5/23/2011,11863437.56
5/24/2011,11853557.59
5/25/2011,11893083.83
5/26/2011,11947885.09
5/27/2011,11993697.87
5/31/2011,12118568.96
6/1/2011,11846371.5
6/2/2011,11833793.63
6/3/2011,11716111.92
6/6/2011,11592141.23
6/7/2011,11584955.99
6/8/2011,11536447.64
6/9/2011,11624480.63
6/10/2011,11462781.21
6/13/2011,11471767.25
6/14/2011,11617296.12
6/15/2011,11410677
6/16/2011,11435832.74
6/17/2011,11469956.8
6/20/2011,11528637.29
6/21/2011,11686625.06
6/22/2011,11616209.58
6/23/2011,11582804.54
6/24/2011,11448290.79
6/27/2011,11550304.89
6/28/2011,11701072.5
6/29/2011,11801281.77
6/30/2011,11914127.18
7/1/2011,12090176.08
7/5/2011,12080243.47
7/6/2011,12094690.91
7/7/2011,12220175.74
7/8/2011,12133507.88
7/11/2011,11914127.18
7/12/2011,11862669.93
7/13/2011,11902392.18
7/14/2011,11820238.41
7/15/2011,11888851.51
7/18/2011,11791352.35
7/19/2011,11982741.02
7/20/2011,11975516.93
7/21/2011,12141634.07
7/22/2011,12149757.81
7/25/2011,12082051.48
7/26/2011,12036908.37
7/27/2011,11790446.32
7/28/2011,11756143.44
7/29/2011,11675791.31
8/1/2011,11626141.33
8/2/2011,11329122.43
8/3/2011,11390509.85
8/4/2011,10856961.61
8/5/2011,10840714.97
8/8/2011,10134728.34
8/9/2011,10605986.33
8/10/2011,10137439.94
8/11/2011,10592446.61
8/12/2011,10663764.93
8/15/2011,10889462.96
8/16/2011,10796474.6
8/17/2011,10803694.76
8/18/2011,10337856.04
8/19/2011,10169032.08
8/22/2011,10177160.6
8/23/2011,10512095.23
8/24/2011,10660153.68
8/25/2011,10497650.97
