Dates,
12/31/2015,1000000
1/4/2016,999777.7292
1/5/2016,999932.9094
1/6/2016,1005810.227
1/7/2016,1003062.468
1/8/2016,1003794.962
1/11/2016,1000146.669
1/12/2016,1004840.508
1/13/2016,1001096.534
1/14/2016,1001938.254
1/15/2016,998186.4132
1/19/2016,996214.7217
1/20/2016,994661.94
1/21/2016,994139.0289
1/22/2016,1002099.276
1/25/2016,996586.1964
1/26/2016,1001847.124
1/27/2016,1001808.872
1/28/2016,1003552.697
1/29/2016,1007551.646
2/1/2016,1002858.263
2/2/2016,1001408.349
2/3/2016,1004948.519
2/4/2016,1006532.283
2/5/2016,1006882.877
2/8/2016,1000776.649
2/9/2016,999079.1051
2/10/2016,1000758.968
2/11/2016,999668.9397
2/12/2016,1003526.61
2/16/2016,1002733.47
2/17/2016,1007164.733
2/18/2016,1010458.359
2/19/2016,1011220.81
2/22/2016,1016909.969
2/23/2016,1016958.953
2/24/2016,1018083.813
2/25/2016,1020412.296
2/26/2016,1018504.673
2/29/2016,1024491.142
3/1/2016,1033669.348
3/2/2016,1034876.987
3/3/2016,1037105.064
3/4/2016,1039886.821
3/7/2016,1040494.476
3/8/2016,1041956.476
3/9/2016,1043886.251
3/10/2016,1044629.164
3/11/2016,1042037.794
3/14/2016,1042495.015
3/15/2016,1040395.23
3/16/2016,1046614.976
3/17/2016,1050160.999
3/18/2016,1052152.448
3/21/2016,1052930.453
3/22/2016,1051436.323
3/23/2016,1050324.246
3/24/2016,1049004.954
3/28/2016,1047732.343
3/29/2016,1051488.575
3/30/2016,1053551.258
3/31/2016,1056075.466
4/1/2016,1057918.969
4/4/2016,1056595.849
4/5/2016,1054370.36
4/6/2016,1058300.498
4/7/2016,1060443.499
4/8/2016,1063673.188
4/11/2016,1066677.082
4/12/2016,1063945.361
4/13/2016,1066980.821
4/14/2016,1067862.334
4/15/2016,1067727.323
4/18/2016,1071280.682
4/19/2016,1072116.367
4/20/2016,1068874.146
4/21/2016,1065281.346
4/22/2016,1064307.244
4/25/2016,1062282.005
4/26/2016,1060413.364
4/27/2016,1066337.055
4/28/2016,1069826.286
4/29/2016,1069951.394
5/2/2016,1070135.028
5/3/2016,1074113.063
5/4/2016,1073794.605
5/5/2016,1075044.442
5/6/2016,1074327.151
5/9/2016,1074098.191
5/10/2016,1074637.298
5/11/2016,1075197.669
5/12/2016,1076228.172
5/13/2016,1074625.278
5/16/2016,1076963.437
5/17/2016,1076484.651
5/18/2016,1068643.738
5/19/2016,1070109.571
5/20/2016,1070997.972
5/23/2016,1071359.158
5/24/2016,1073210.974
5/25/2016,1073425.274
5/26/2016,1076676.218
5/27/2016,1075373.72
5/31/2016,1075183.391
6/1/2016,1076244.207
6/2/2016,1077895.123
6/3/2016,1082480.666
6/6/2016,1085455.848
6/7/2016,1088114.606
6/8/2016,1091534.41
6/9/2016,1089430.534
6/10/2016,1086521.221
6/13/2016,1082428.976
6/14/2016,1079280.817
6/15/2016,1081798.695
6/16/2016,1082355.465
6/17/2016,1082386.1
6/20/2016,1082733.742
6/21/2016,1082675.806
6/22/2016,1084616.674
6/23/2016,1082915.215
6/24/2016,1077944.776
6/27/2016,1083270.605
6/28/2016,1091027.036
6/29/2016,1100885.485
6/30/2016,1107094.504
7/1/2016,1109817.374
7/5/2016,1110104.946
7/6/2016,1112760.615
7/7/2016,1113627.269
7/8/2016,1123060.47
7/11/2016,1125036.042
7/12/2016,1124510.293
7/13/2016,1126487.369
7/14/2016,1122058.367
7/15/2016,1121567.581
7/18/2016,1120968.884
7/19/2016,1123209.176
7/20/2016,1122176.717
7/21/2016,1122750.081
7/22/2016,1122650.413
7/25/2016,1119526.201
7/26/2016,1120125.575
7/27/2016,1125264.019
7/28/2016,1122517.491
7/29/2016,1124844.379
8/1/2016,1121124.059
8/2/2016,1119649.346
8/3/2016,1121584.207
8/4/2016,1124825.24
8/5/2016,1125072.364
8/8/2016,1125769.194
8/9/2016,1131394.955
8/10/2016,1133152.978
8/11/2016,1133893.886
8/12/2016,1138316.422
8/15/2016,1137116.687
8/16/2016,1134986.071
8/17/2016,1138063.633
8/18/2016,1140797.309
8/19/2016,1137114.252
8/22/2016,1141072.342
8/23/2016,1142632.334
8/24/2016,1140441.832
8/25/2016,1139498.492
8/26/2016,1135664.384
8/29/2016,1142313.635
8/30/2016,1142350.44
8/31/2016,1140256.647
9/1/2016,1141657.088
9/2/2016,1143718.526
9/6/2016,1148206.206
9/7/2016,1150277.37
9/8/2016,1147112.177
9/9/2016,1139244.518
9/12/2016,1139916.105
9/13/2016,1134740.293
9/14/2016,1136238.352
9/15/2016,1135472.492
9/16/2016,1137936.02
9/19/2016,1139243.296
9/20/2016,1139835.066
9/21/2016,1148095.266
9/22/2016,1153168.752
9/23/2016,1150847.756
9/26/2016,1148338.831
9/27/2016,1150556.954
9/28/2016,1153777.152
9/29/2016,1150189.47
9/30/2016,1152080.956
10/3/2016,1152295.498
10/4/2016,1145093.325
10/5/2016,1142637.453
10/6/2016,1140699.086
10/7/2016,1141993.886
10/10/2016,1139295.32
10/11/2016,1136546.369
10/12/2016,1136890.772
10/13/2016,1139286.179
10/14/2016,1135687.448
10/17/2016,1138315.756
10/18/2016,1140979.402
10/19/2016,1142889.728
10/20/2016,1143612.827
10/21/2016,1145510.557
10/24/2016,1145311.343
10/25/2016,1145570.024
10/26/2016,1141484.714
10/27/2016,1135855.81
10/28/2016,1135246.537
10/31/2016,1137401.27
11/1/2016,1136431.354
11/2/2016,1135669.849
11/3/2016,1133502.058
11/4/2016,1137637.991
11/7/2016,1133911.163
11/8/2016,1134217.5
11/9/2016,1115124.623
11/10/2016,1108607
11/11/2016,1105198.594
11/14/2016,1102649.682
11/15/2016,1104405.317
11/16/2016,1102843.061
11/17/2016,1099618.934
11/18/2016,1096447.346
11/21/2016,1097647.069
11/22/2016,1100347.578
11/23/2016,1094684.428
11/25/2016,1095074.317
11/28/2016,1097139.279
11/29/2016,1096458.759
11/30/2016,1095387.559
12/1/2016,1092763.489
12/2/2016,1097487.883
12/5/2016,1098376.735
12/6/2016,1102504.819
12/7/2016,1108044.057
12/8/2016,1103962.054
12/9/2016,1097677.732
12/12/2016,1098090.327
12/13/2016,1099620.065
12/14/2016,1091590.996
12/15/2016,1092048.145
12/16/2016,1092316.619
12/19/2016,1098257.86
12/20/2016,1098853.685
12/21/2016,1102064.109
12/22/2016,1102950.279
12/23/2016,1104764.129
12/27/2016,1103339.601
12/28/2016,1107793.453
12/29/2016,1110482.467
12/30/2016,1112460.164
1/3/2017,1115231.904
1/4/2017,1120161.966
1/5/2017,1124092.438
1/6/2017,1123582.885
1/9/2017,1124090.664
1/10/2017,1123753.272
1/11/2017,1125825.488
1/12/2017,1126737.384
1/13/2017,1125831.945
1/17/2017,1129577.147
1/18/2017,1125635.623
1/19/2017,1121764.75
1/20/2017,1122190.602
1/23/2017,1127885.724
1/24/2017,1127025.749
1/25/2017,1126489.785
1/26/2017,1128259.255
1/27/2017,1130138.551
1/30/2017,1128077.09
1/31/2017,1132004.509
2/1/2017,1130929.466
2/2/2017,1132009.636
2/3/2017,1132611.054
2/6/2017,1136814.634
2/7/2017,1136431.727
2/8/2017,1138560.972
2/9/2017,1137997.205
2/10/2017,1139046.979
2/13/2017,1138047.216
2/14/2017,1136634.601
2/15/2017,1135563.512
2/16/2017,1137191.753
2/17/2017,1138385.615
2/21/2017,1138647.632
2/22/2017,1140232.452
2/23/2017,1143158.655
2/24/2017,1148086.847
2/27/2017,1146958.983
2/28/2017,1147540.451
3/1/2017,1140352.749
3/2/2017,1137915.81
3/3/2017,1139443.435
3/6/2017,1137618.335
3/7/2017,1134699.995
3/8/2017,1131004.13
3/9/2017,1126948.223
3/10/2017,1129367.801
3/13/2017,1125962.766
